time,nof_ue,dl_brate,ul_brate,dataset_group,scenario,training_id,experiment_id,base_station_id,source_file,bs_lambda_total
1602351615128,9,444944.5625,70592.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,515536.5625
1602351615378,9,436930.1875,53087.484375,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,490017.671875
1602351615628,9,384928.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,384928.0
1602351615878,9,447808.0,48896.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,496704.0
1602351616128,9,354816.0,92256.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,447072.0
1602351616378,9,483008.0,43840.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,526848.0
1602351616628,9,436832.0,22048.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,458880.0
1602351616878,9,395952.1875,3952.191162,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,399904.378662
1602351617128,9,355712.0,65472.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,421184.0
1602351617378,9,391520.0,83808.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,475328.0
1602351617628,9,262624.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,262624.0
1602351617878,9,411424.0,11136.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,422560.0
1602351618128,9,399584.0,56224.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,455808.0
1602351618378,9,443433.75,86008.9375,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,529442.6875
1602351618628,9,421400.75,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,421400.75
1602351618878,9,318048.0,6912.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,324960.0
1602351619128,9,332288.0,99296.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,431584.0
1602351619378,9,461952.0,50464.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,512416.0
1602351619628,9,274882.3125,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,274882.3125
1602351619878,9,585912.0,44557.769531,slice_mixed,rome_slow_close,tr0,exp1,bs3,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs3/bs3.csv,630469.7695309999
